date,text,sentiment_score,sentiment_label,contribute_words
2000-10-09 07:16:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECTcc: <PERSON>/ECT@ECT Subject: Consolidated positions: Issues & To Do list<PERSON>, Below is the issues & to do list as we go forward with documenting the requirements for consolidated physical/financial positions and transport trade capture. What we need to focus on is the first bullet in <PERSON>'s list; the need for a single set of requirements. Although the meeting with <PERSON>, on <DATE_TIME>,  was informative the solution of creating a <IN_PAN> dynamic consolidated position screen, will be extremely difficult and time consuming.  <IN_PAN> the meeting on <DATE_TIME>, <PERSON> alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel). What needs to happen on <DATE_TIME> from 3 - 5 is a effort to design a desired layout for the consolidated position screen, this is critical. This does not exclude building a <IN_PAN> to create a more flexible position presentation for the future, but in order to create a plan that can be measured we need firm requirements. Also, to reiterate that the goals of this project is a project plan on consolidate physical/financial positions and transport trade capture. The other issues that have been raised will be capture as projects on to <IN_PAN>, and will need to be prioritised as efforts outside of this project.I have been involved in most of the meetings and the discussions have been good. I believe there has been good communication between the teams, but now we need to have focus on the <IN_PAN> we set out to solve.<PERSON>---------------------- Forwarded by <PERSON>/HOU/ECT on <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/HOU/ECT@ECTcc: <PERSON>, <PERSON>/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, <PERSON>/ECT@ECT Subject: Consolidated positions: Issues & To Do listFrom our initial set of meetings with the traders regarding consolidated positions, I think we still have the following issues:We don't have a single point of contact from the trading group.  We've had three meetings which brought out very different issues from different traders.  We really need a single point of contact to help drive the trader requirements and help come to a consensus regarding the requirements.We're getting hit with a lot of different requests, many of which appear to be outside the scope of position consolidation.Things left to do:I think it may be useful to try to formulate a high level project goal to make it as clear as possible what we're trying to accomplish with this project.  It'll help determine which requests fall under the project scope.Go through the list of requests to determine which are in scope for this project and which fall out of scope.For those in scope, work to define relative importance (priority) of each and work with traders to define the exact requirements of each.Define the desired lay out of the position manager screen: main view and all drill downs.Use the above to formulate a project plan.Things requested thus far (no particular order):Inclusion of Sitara physical deals into the TDS position manager and deal ticker.Customized rows and columns in the position manager (ad hoc rows/columns that add up existing position manager rows/columns).New drill down in the position manager to break out positions by: physical, transport, swaps, options, ...Addition of a curve tab to the position manager to show the real-time values of all curves on which the desk has a position.Ability to split the current position grid to allow <DATE_TIME> positions to be shown directly above <DATE_TIME> positions.  Each grouped column in the top grid would be tied to a grouped column in the bottom grid.Ability to properly show curve shift for float-for-float deals; determine the appropriate positions to show for each:<PERSON> for <DATE_TIME> index,Physical gas for Nymex,Physical gas for Inside Ferc,Physical gas for Mid market.Ability for TDS to pull valuation results based on a TDS flag instead of using official valuations.Position and P&L aggregation across all gas desks.Ability to include the Gas Price book into TDS:Inclusion of spread options in our systems.  Ability to handle volatility skew and correlations.Ability to revalue all options incrementally throughout the trading day.  Approximate delta changes between valuations using instantaneous gamma or a gamma grid.Valuation of Gas Daily options.A new position screen for options (<DATE_TIME> x strike x delta).  TBD.Inclusion of positions for exotic options currently managed in spreadsheets.Ability to isolate the position change due to changed deals in the position manager.Ability to view change deal P&L in the TDS deal ticker.  Show new deal terms, prior deal terms, and net P&L affect of the change.Eliminate change deals with no economic impact from the TDS deal ticker.Position drill down in the position manager to isolate the impact of individual deals on the position total in a grid cell.<PERSON> positions in TDS.Deployment of TDS in <LOCATION>. Currency and volume uom conversions. Implicit and explicit position break out issues.-- <PERSON>.PS: Colleen is setting up a meeting <DATE_TIME> to discuss the direction for transport.  Hopefully we'll know much better where that part stands at that point.","[0.08884106576442719, 0.14363491535186768, 0.16686765849590302, 0.3673486113548279, 0.23330780863761902]",3,"., as, below"
2000-10-09 07:00:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECTcc: <PERSON>/ECT@ECT Subject: Consolidated positions: Issues & To Do list<PERSON>, Below is the issues & to do list as we go forward with documenting the requirements for consolidated physical/financial positions and transport trade capture. What we need to focus on is the first bullet in <PERSON>'s list; the need for a single set of requirements. Although the meeting with <PERSON>, on <DATE_TIME>,  was informative the solution of creating a <IN_PAN> dynamic consolidated position screen, will be extremely difficult and time consuming.  <IN_PAN> the meeting on <DATE_TIME>, <PERSON> alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel). What needs to happen on <DATE_TIME> from 3 - 5 is a effort to design a desired layout for the consolidated position screen, this is critical. This does not exclude building a <IN_PAN> to create a more flexible position presentation for the future, but in order to create a plan that can be measured we need firm requirements. Also, to reiterate that the goals of this project is a project plan on consolidate physical/financial positions and transport trade capture. The other issues that have been raised will be capture as projects on to <IN_PAN>, and will need to be prioritised as efforts outside of this project.I have been involved in most of the meetings and the discussions have been good. I believe there has been good communication between the teams, but now we need to have focus on the <IN_PAN> we set out to solve.<PERSON>---------------------- Forwarded by <PERSON>/HOU/ECT on <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/HOU/ECT@ECTcc: <PERSON>, <PERSON>/HOU/ECT@ECT, Scott Mills/HOU/ECT@ECT, <PERSON>/ECT@ECT Subject: Consolidated positions: Issues & To Do listFrom our initial set of meetings with the traders regarding consolidated positions, I think we still have the following issues:We don't have a single point of contact from the trading group.  We've had three meetings which brought out very different issues from different traders.  We really need a single point of contact to help drive the trader requirements and help come to a consensus regarding the requirements.We're getting hit with a lot of different requests, many of which appear to be outside the scope of position consolidation.Things left to do:I think it may be useful to try to formulate a high level project goal to make it as clear as possible what we're trying to accomplish with this project.  It'll help determine which requests fall under the project scope.Go through the list of requests to determine which are in scope for this project and which fall out of scope.For those in scope, work to define relative importance (priority) of each and work with traders to define the exact requirements of each.Define the desired lay out of the position manager screen: main view and all drill downs.Use the above to formulate a project plan.Things requested thus far (no particular order):Inclusion of Sitara physical deals into the TDS position manager and deal ticker.Customized rows and columns in the position manager (ad hoc rows/columns that add up existing position manager rows/columns).New drill down in the position manager to break out positions by: physical, transport, swaps, options, ...Addition of a curve tab to the position manager to show the real-time values of all curves on which the desk has a position.Ability to split the current position grid to allow <DATE_TIME> positions to be shown directly above <DATE_TIME> positions.  Each grouped column in the top grid would be tied to a grouped column in the bottom grid.Ability to properly show curve shift for float-for-float deals; determine the appropriate positions to show for each:<PERSON> for <DATE_TIME> index,Physical gas for Nymex,Physical gas for Inside Ferc,Physical gas for Mid market.Ability for TDS to pull valuation results based on a TDS flag instead of using official valuations.Position and P&L aggregation across all gas desks.Ability to include the Gas Price book into TDS:Inclusion of spread options in our systems.  Ability to handle volatility skew and correlations.Ability to revalue all options incrementally throughout the trading day.  Approximate delta changes between valuations using instantaneous gamma or a gamma grid.Valuation of Gas Daily options.A new position screen for options (<DATE_TIME> x strike x delta).  TBD.Inclusion of positions for exotic options currently managed in spreadsheets.Ability to isolate the position change due to changed deals in the position manager.Ability to view change deal P&L in the TDS deal ticker.  Show new deal terms, prior deal terms, and net P&L affect of the change.Eliminate change deals with no economic impact from the TDS deal ticker.Position drill down in the position manager to isolate the impact of individual deals on the position total in a grid cell.<PERSON> positions in TDS.Deployment of TDS in <LOCATION>. Currency and volume uom conversions. Implicit and explicit position break out issues.-- <PERSON>.PS: Colleen is setting up a meeting <DATE_TIME> to discuss the direction for transport.  Hopefully we'll know much better where that part stands at that point.","[0.08884106576442719, 0.14363491535186768, 0.16686765849590302, 0.3673486113548279, 0.23330780863761902]",3,"., as, below"
2000-10-05 06:26:00,"<PERSON>,  Here are the names of the west desk members by category.  The origination side is very sparse.  <PERSON>","[0.15217243134975433, 0.2975226044654846, 0.38391798734664917, 0.13323652744293213, 0.03315046429634094]",2,"very, are, here"
2000-10-05 05:55:00,"<PERSON>, 35 million is fine<PERSON>","[0.20841968059539795, 0.17230592668056488, 0.23743325471878052, 0.18560081720352173, 0.19624029099941254]",2,",, fine, is"
2000-10-04 09:23:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------   	Enron North America Corp.		From:  <PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>/ECT@ECT, <PERSON> Martin/HOU/ECT@ECT, <PERSON>, <PERSON>, <PERSON>/ECT@ECT, <PERSON>, <PERSON>/ECT@ECT, <PERSON>: <PERSON>NA/Enron@Enron, Ina Rangel/HOU/ECT@ECT, <PERSON> Harder/Corp/Enron@Enron, Kimberly Brown/HOU/ECT@ECT, Araceli Romero/NA/Enron@Enron, <PERSON>/ECT@ect Subject: Var, Reporting and Resources MeetingPlease plan to attend the below  Meeting:                                Topic:  <PERSON>, Reporting and Resources Meeting          Date:  <DATE_TIME>  Time:  <DATE_TIME>   Location: EB30C1   If you have any questions/conflicts, please feel free to call me.Thanks,Rainx.31560","[0.17390024662017822, 0.12893083691596985, 0.13447339832782745, 0.2543916702270508, 0.3083038628101349]",4,"from, forward, attend"
2001-05-04 11:26:00,"<PERSON>,<PERSON> is having problems with accessing the west power site.  Can you please make sure he has an active password.  Thank you,<PERSON>","[0.2695299983024597, 0.2141152024269104, 0.244983971118927, 0.1732870638370514, 0.09808371961116791]",0,"thank, problems, is"
2000-10-03 09:30:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------""<PERSON>"" <<EMAIL_ADDRESS>> on <DATE_TIME> <DATE_TIME> respond to <<EMAIL_ADDRESS>>To: ""<PERSON>"" <<EMAIL_ADDRESS>>cc: ""<PERSON>"" <<EMAIL_ADDRESS>> Subject: WestgateWestgateEnclosed are demographics on the Westgate site from Investor's Alliance.Investor's Alliance says that these demographics are similar to the packageon <LOCATION> that you received earlier.If there are any other questions or information requirements, let me know.Then, let me know your interest level in the <PERSON> project?<PERSON>The property across the street from the Sagewood units in <LOCATION> is forsale and approved for 134 units.  The land is selling for $2.50 per squarefoot as it is one of only two remaining approved multifamily parcels in <LOCATION>, which now has a moratorium on development.Several new studies we have looked at show that the rents for our duplexesand for these new units are going to be significantly higher, roughly $1.25per square foot if leased for the entire unit on a <DATE_TIME> lease and$1.30-$1.40 psf if leased on a <DATE_TIME> term, but by individual room.  Thisproperty will have the best location for student housing of all newprojects, just as the duplexes do now.If this project is of serious interest to you, please let me know as thereis a very, very short window of opportunity.  The equity requirement is notyet known, but it would be likely to be $300,000 to secure the land.  I willknow more on this question <DATE_TIME>.Sincerely,<PERSON>President, <PERSON>, LLC - winmail.dat","[0.3116578757762909, 0.28307580947875977, 0.19064399600028992, 0.14730848371982574, 0.06731390953063965]",0,"respond, ##closed, ?"
2000-10-03 09:15:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> ---------------------------<PERSON><DATE_TIME> <DATE_TIME>To: <PERSON>NA/Enron@Enron, <PERSON>/ECT@ECT, <PERSON> T Lucci/NA/Enron@Enron, <PERSON>, <PERSON> Harrison/NA/Enron@Enroncc: <PERSON>, Ina Rangel/HOU/ECT@ECT, <PERSON>: Meeting re: Storage <IN_PAN> in the WestThere will be a meeting on <DATE_TIME> at 4:00pm in <US_DRIVER_LICENSE> regarding Storage <IN_PAN> in the West.  Please mark your calendars.Thank you!Regards,<PERSON>ENA <LOCATION> office<PHONE_NUMBER>","[0.15265625715255737, 0.13139234483242035, 0.15350928902626038, 0.27674272656440735, 0.28569936752319336]",4,"forward, ##ther, will"
2000-10-03 09:13:00,"<PERSON>,Please use the second check as the <DATE_TIME> payment.  If you have already tossed it, let me know so I can mail you another.<PERSON>","[0.2416754513978958, 0.1918633133172989, 0.2780148684978485, 0.17872922122478485, 0.10971713066101074]",2,"please, as, use"
2000-10-03 03:17:00,I think <PERSON> has a good CPA.  I am still doing my own.  ,"[0.011172078549861908, 0.04369330406188965, 0.31153690814971924, 0.46646541357040405, 0.16713225841522217]",3,"think, i, still"
2000-10-02 02:19:00,"<PERSON>, Please use the second check as my <DATE_TIME> payment.  I have my copy of the original deal.  Do you want me to fax this to you?<PERSON>","[0.29609498381614685, 0.16690871119499207, 0.2207098752260208, 0.161472350358963, 0.15481404960155487]",0,"please, as, use"
2000-09-28 06:17:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 01:09 PM ---------------------------   			From:  <PERSON><DATE_TIME> <DATE_TIME>, As we discussed <DATE_TIME>, I am concerned there may have been an attempt to <IN_PAN> the  <LOCATION> <DATE_TIME> index.  It appears that a single buyer entered the marketplace on both <DATE_TIME> and <DATE_TIME> and paid above market prices ($4.70-$4.80) for <LOCATION> gas.  At the time of these trades, offers for physical gas at significantly (10 to 15 cents) lower prices were bypassed in order to establish higher trades to report into the index calculation.  Additionally, these trades are out of line with the <IN_PAN> financial swaps for <LOCATION>. We have compiled a list of financial and physical trades executed from <DATE_TIME>.  These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (<NRP>, APB, and Prebon).  Please see the attached spreadsheet for a trade by trade list and a summary.  We have also included a summary of gas <DATE_TIME> prices to <IN_PAN> the value of <LOCATION> based on several spread relationships.  The two key points from this data are as follows: 1.  The high physical prices on the 26th & 27th (4.75,4,80) are much greater than the high financial trades (4.6375,4.665) on <DATE_TIME>.  2.  The spread relationship between <LOCATION> and other points (Socal & Northwest)  is  consistent <DATE_TIME> and        <DATE_TIME> gas <DATE_TIME>.  It doesn't make sense to have <DATE_TIME> indices that are dramatically different. I understand you review the trades submitted for outliers.  Hopefully, the trades submitted will reveal counterparty names and you will be able to determine that there was only one buyer in the <DATE_TIME>'s and these trades are outliers.  I wanted to give you some additional points of reference to aid in establishing a reasonable index.  It is Enron's belief that the trades at $4.70 and higher  were above market trades that should be excluded from the calculation of index. It is our desire to have reliable and accurate indices against which to conduct our physical and financial business.  Please contact me anytime I can assist you towards this goal.Sincerely,<PERSON>","[0.19775094091892242, 0.2094782590866089, 0.16270233690738678, 0.2549033761024475, 0.17516513168811798]",3,"forward, from, i"
2000-09-28 05:56:00,"Liane, As we discussed <DATE_TIME>, I am concerned there has been an attempt to <IN_PAN> the  <LOCATION> <DATE_TIME> index.  A single buyer entered the marketplace on both <DATE_TIME> and <DATE_TIME> and paid above market prices ($4.70-$4.80) for <LOCATION> gas with the intent to distort the index.  At the time of these trades, offers for physical gas at significantly (10 to 15 cents) lower prices were bypassed in order to establish higher trades to report into the index calculation.  Additionally, these trades are out of line with the <IN_PAN> financial swaps for <LOCATION>. We have compiled a list of financial and physical trades executed from <DATE_TIME>.  These are the complete list of trades from Enron Online (EOL), Enron's direct phone conversations, and three brokerage firms (<NRP>, APB, and Prebon).  Please see the attached spreadsheet for a trade by trade list and a summary.  We have also included a summary of gas <DATE_TIME> prices to <IN_PAN> the value of <LOCATION> based on several spread relationships.  The two key points from this data are as follows: 1.  The high physical prices on the 26th & 27th (4.75,4,80) are much greater than the high financial trades (4.6375,4.665) on <DATE_TIME>.  2.  The spread relationship between <LOCATION> and other points (Socal & Northwest)  is  consistent <DATE_TIME> and        <DATE_TIME> gas <DATE_TIME>.  It doesn't make sense to have <DATE_TIME> indeces that are dramatically different. I understand you review the trades submitted for outliers.  Hopefully, the trades submitted will reveal counterparty names and you will be able to determine that there was only one buyer in the <DATE_TIME>'s and these trades are outliers.  I wanted to give you some additional points of reference to aid in establishing a reasonable index.  It is Enron's belief that the trades at $4.70 and higher  were above market trades that should be excluded from the calculation of index. It is our desire to have reliable and accurate indeces against which to conduct our physical and financial business.  Please contact me anytime I can assist you towards this goal.Sincerely,<PERSON>","[0.17350926995277405, 0.3319283723831177, 0.2732928693294525, 0.1674412488937378, 0.05382820963859558]",1,"lia, ##ne, ,"
2000-09-26 09:28:00,"---------------------- Forwarded by <PERSON>/ECT on <DATE_TIME> 04:28 PM ---------------------------""<PERSON>"" <<EMAIL_ADDRESS>> on <DATE_TIME> 01:18:45 PMPlease respond to <<EMAIL_ADDRESS>>To: ""<PERSON>"" <<EMAIL_ADDRESS>>cc: ""<PERSON>"" <<EMAIL_ADDRESS>>, ""<PERSON>"" <<EMAIL_ADDRESS>> Subject: Investment StructureSTRUCTURE:Typically the structure is a limited partnership with a corporate (or LLC)general partner.  The General Partner owns 1% of the project and carries theliability of construction.LAND OWNERSHIP & LOANSThe property would be purchased in the name of the limited partnership andany land loans, land improvements loans and construction loans would be inthe name of the limited partnership.  Each of the individual investors andall of the principals in Creekside would also personally guarantee theloans.  If the investor(s) do not sign on the loans, this generally meansthat a larger amount of cash is required and the investor's share of profitsis reduced.All loans for residential construction, that are intended for re-sale, arefull recourse loans.  If we are pursuing multifamily rental developments,the construction loans are still full recourse but the mortgage can often benon-recourse.USE OF INITIAL INVESTMENTThe initial investment is used for land deposit, engineering &architectural design, soils tests, surveys, filing fees, legal fees fororganization and condominium association formation,  and appraisals.  Unlikemany real estate investment programs, none of the funds are used for fees to<PERSON>, LLC.  These professional expenses will be incurred over<DATE_TIME> design and approval period.EARLY LAND COSTSThe $4,000 per month costs listed in the cash flow as part of land costrepresent the extension fees due to the seller for <DATE_TIME> ofextensions on closing.  As an alternative, we can close into a land loan atprobably 70% of appraised value.  With a land value equal to the purchaseprice of $680,000 this would mean a land loan of $476,000 with estimated<DATE_TIME> interest payments of $3,966, given a 10% <DATE_TIME> interest rate, plusapproximately 1.25% of the loan amount for closing costs and loan fees.EQUITY AT IMPROVEMENT LOANOnce the site plan is approved by <LOCATION>, the City will requirethe development entity to post funds for fiscal improvements, referred to asthe ""fiscals"".  This cost represents a bond for the completion ofimprovements that COA considers vital and these funds are released once theimprovements have been completed and accepted by COA.  This release will befor 90% of the cost with the remaining 10% released <DATE_TIME> aftercompletion.  Releases can be granted once <DATE_TIME> and you shouldexpect that the release would occur <DATE_TIME> after the start of lotimprovement construction.  These fiscals are usually posted in cash or anirrevocable letter of credit.  As such, they have to be counted as adevelopment cost, even though they are not spent.  Because they are notspent no interest is charged on these funds.The lot improvement loan is typically 75% of the appraised value of afinished lot, which I suspect will be at least $20,000 and potentially ashigh as $25,000.  This would produce a loan amount of  $15,000 on $20,000per lot.  With estimated per lot improvement costs of $9,000, 'fiscals' at$2,000 and the land cost at $8,000 , total improved lot cost is $19,000which means $0 to $4,000 per lot in total equity.  The investment prior toobtaining the improvement loan would count towards any equity requirementprovided it was for direct costs.  Thus, the additional equity for theimprovement loan would be $0-$184,000.   Even if the maximum loan wouldcover all costs, it is unlikely the bank would allow reimbursement of fundsspent. The higher estimates of equity investments are shown in thepreliminary proforma to be on the safe side.  The engineer is preparing atentative site layout with an initial evaluation of the phasing, which cansignificantly reduce the cash equity requirement.Phasing works as follows.  If the first phase was say 40 units, the totallot improvement cost might average $31,000 per lot.   Of this, probably$13,000 would be for improvements and $19,000 for the land cost.  Theimprovements are higher to cover large one time up front costs for designcosts, the entry road, water treatment costs, perimeter fencing andlandscaping, and so on, as well as for 100% of the land.  The land loan forundeveloped lots would be 70% of the appraised raw lot value, which I wouldestimate as $10,000 per lot for a loan value of $7,000 per lot.  Then theloan value for each improved lot would be $15,000 per lot.  This would giveyou a total loan of $992,000, total cost of $1,232,645 for equity requiredof $241,000.  This was not presented in the initial analysis as the phasingis depended on a more careful assessment by the Civil Engineer as theseparate phases must each be able to stand on its own from a utilitystandpoint.CONSTRUCTION LOANSThere are three types of  construction loans.  First, is a speculative(spec) loan that is taken out prior to any pre-sales activity.  Second,  isa construction loan for a pre-sold unit, but the loan remains in thebuilder/developers name.  Third, is a pre-sold unit with the constructionloan in the name of the buyer.  We expect to have up to 8 spec loans tostart the project and expect all other loans to be pre-sold units with loansin the name of the builder/developer.  We do not expect to have anyconstruction loans in the name of the buyers, as such loans are toodifficult to manage and please new buyers unfamiliar with the process.Spec loans will be for 70% to 75% of value and construction loans forpre-sold units, if the construction loan is from the mortgage lender,  willbe from 80% to 95% of value.DISBURSEMENTSDisbursements will be handled by the General Partner to cover current andnear term third party costs, then to necessary reserves, then to prioritypayments and then to the partners per the agreement.  The General Partnerwill contract with Creekside Builders, LLC to construct the units and thefee to CB will include a construction management and overhead fee equal to15% of the direct hard cost excluding land, financing and sales costs.These fees are the only monies to <PERSON>, <PERSON> or myself prior tocalculation of profit, except for a) direct reimbursement for partnershipexpenses and b) direct payment to CB for any subcontractor costs that it hasto perform.  For example, if CB cannot find a good trim carpenter sub, orcannot find enough trim carpenters, etc., and it decides to undertake thisfunction, it will charge the partnership the same fee it was able to obtainfrom third parties and will disclose those cases to the partnership.Finally, CB will receive a fee for the use of any of its equipment if it isused in lieu of leasing equipment from others.  At present CB does not ownany significant equipment, but it is considering the purchase of a sky trackto facilitate and speed up framing, cornice, roofing and drywall spreading.REPORTINGWe are more than willing to provide reports to track expenses vs. plan.What did you have in mind?  I would like to use some form of internet basedreporting.BOOKKEEPINGI am not sure what you are referring to by the question, ""Bookkeepingprocedures to record actual expenses?""  Please expand.INVESTOR INPUTWe are glad to have the investor's input on design and materials.  As alwaysthe question will be who has final say if there is disagreement, but in myexperience I have always been able to reach consensus. As you, and I presume<PERSON>, want to be involved to learn as much as possible we would make everyeffort to be accommodating.CREEKSIDE PROCEEDURESCB procedures for dealing with subs, vendors and professionals is not asformal as your question indicates.  In the EXTREMELY tight labor marketobtaining 3 bids for each labor trade is not feasible.  For the professionalsubs we use those with whom we have developed a previous rapport.  Finally,for vendors they are constantly shopped.PRE-SELECTED PROFESSIONALS, SUBS AND <PERSON>Yes there are many different subs that have been identified and I canprovide these if you are interested.I know I have not answered everything, but this is a starting point.  Callwhen you have reviewed and we can discuss further.Sincerely,<PERSON>President, <PERSON>, LLC - winmail.dat","[0.2714479863643646, 0.25583285093307495, 0.16395200788974762, 0.19244559109210968, 0.11632160097360611]",0,"respond, forward, typically"
